Date,Label,Speaker,Political Party,Subject,Photo
2018-12-01,True,Roy Blunt,Republican,Federal Budget;Military,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Blunt_mug.jpg
2018-12-09,Half True,Christine Lagarde,None,Economy;Jobs;Women,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Largarde.jpg
2018-12-08,True,Mike  Romano,Democrat,Income;Poverty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-04_at_10.43.17_AM.png
2018-12-09,Mostly True, Bloggers,None,Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-27,Half True,Terry Van Duyn,Democrat,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/VanDuynMUG.JPG
2018-12-09,Mostly True, Bloggers,None,Education;Fake news;Religion,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2013-01-10,Full Flop,Robin Vos,Republican,Government Efficiency;States;Transparency,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Robin_Vos.jpg
2018-11-05,Mostly True,Jim Justice,Republican,Animals;Economy;Guns,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-09-11_at_4.17.04_PM.png
2018-11-08,True,Mike  Romano,Democrat,Poverty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-04_at_10.43.17_AM.png
2018-12-07,Mostly True,Miro Weinberger,Democrat,Energy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/miro.jpg
2018-12-05,Mostly False, Bloggers,None,Nuclear,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-08,True,Mike  Romano,Democrat,Economy;Income,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-04_at_10.43.17_AM.png
2018-10-09,Mostly False,Paul Espinosa,Republican,Education,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Espinosa.jpg
2018-12-03,Full Flop,Scott Walker,Republican,Elections;Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Scott_Walker_1_1.jpg
2018-12-03,True, Bloggers,None,Corrections and Updates;Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-27,True,Richard Ojeda,Democrat,Economy;Financial Regulation,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-11-15_at_1.30.03_PM.png
2018-11-15,True,David McKinley,Republican,Energy;Federal Budget;Food;Science;Technology,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/McKinley_mug.jpg
2018-12-08,True,Crystal Quade,Democrat,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Crystal_Quade.jpg
2018-11-29,Mostly True,Roman Prezioso,Democrat,Education;State Budget;State government spending ,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-03_at_10.42.43_AM.png
2018-11-25,Mostly False,Jean Evans,Republican,Campaign Finance;Privacy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-06_at_9.06.28_AM.png
2018-12-03,Mostly True,Amy Klobuchar,Democrat,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/amy_klobuchar.jpg
2018-12-04,False,Donald Trump,Republican,Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-10-01,Half True,Caleb Rowden,Republican,Economy;Technology,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/caleb_rowden.jpg
2018-11-29,Mostly False, PuppetStringNews.com,None,Fake news;Homeland Security;Immigration;Public Health,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/politifact-mugs-mug-independentgroup__________________3.jpg
2018-11-23,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-28,Mostly True,Terry McAuliffe,Democrat,Job Accomplishments;Jobs,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/mcauliffe1.JPG
